player_name,role,total_runs,strike_rate,total_balls_faced,total_wickets_taken,total_runs_conceded,total_overs_bowled,total_matches_played,matches_played_as_batter,matches_played_as_bowler,matches_won,matches_lost,player_of_match_awards,team,economy_rate,average
M Pushpakumara,Bowler,7,33.33333333333333,21,0,21,31,328,0,328,127,201,0,Bangladesh,0.6774193548387096,
SN Netravalkar,Bowler,138,59.48275862068966,232,84,1819,2700,65,0,65,33,32,3,Nepal,0.6737037037037037,21.654761904761905
JD Unadkat,Bowler,0,0.0,0,10,231,344,234,0,234,57,177,0,Zimbabwe,0.6715116279069767,23.1
Sultana Khatun,Bowler,40,44.44444444444444,90,20,511,761,449,0,449,275,174,0,South Africa,0.671484888304862,25.55
CZ Harris,Bowler,203,50.49751243781094,402,10,404,602,534,0,534,330,204,0,India,0.6710963455149501,40.4
Kamran Ghulam,Bowler,192,106.07734806629834,181,1,16,24,424,0,424,262,162,2,South Africa,0.6666666666666666,16.0
A Canning,Bowler,76,50.331125827814574,151,11,440,661,97,0,97,52,45,0,Scotland,0.6656580937972768,40.0
DL Vettori,Bowler,1450,83.0945558739255,1745,208,5322,7996,545,0,545,381,164,8,Australia,0.6655827913956979,25.58653846153846
BA Williams,Bowler,14,56.00000000000001,25,34,666,1001,509,0,509,236,273,3,Sri Lanka,0.6653346653346653,19.58823529411765
MS Kasprowicz,Bowler,11,52.38095238095239,21,37,587,883,424,0,424,164,260,2,West Indies,0.6647791619479049,15.864864864864865
DC Drakes,Bowler,11,61.111111111111114,18,2,83,125,99,0,99,34,65,0,United Arab Emirates,0.664,41.5
C White,Bowler,79,94.04761904761905,84,10,181,273,75,0,75,22,53,0,Netherlands,0.663003663003663,18.1
DJ Cullen,Bowler,0,0.0,0,2,137,207,339,0,339,132,207,0,Bangladesh,0.6618357487922706,68.5
JL Hunter,Bowler,16,45.714285714285715,35,8,257,389,464,0,464,216,248,0,Sri Lanka,0.6606683804627249,32.125
J Srinath,Bowler,31,37.80487804878049,82,28,563,853,394,0,394,202,192,1,New Zealand,0.6600234466588512,20.107142857142858
Nahida Akter,Bowler,121,36.666666666666664,330,61,1214,1842,449,0,449,275,174,2,South Africa,0.6590662323561346,19.901639344262296
RS Gayakwad,Bowler,15,31.25,48,78,1627,2475,471,0,471,290,181,0,South Africa,0.6573737373737374,20.858974358974358
BTJ Wheal,Bowler,47,72.3076923076923,65,20,414,630,264,0,264,64,200,0,Zimbabwe,0.6571428571428571,20.7
E Bisht,Bowler,73,58.4,125,65,1293,1970,433,0,433,225,208,4,New Zealand,0.6563451776649746,19.892307692307693
CR Smith,Bowler,0,0.0,0,0,21,32,329,0,329,170,159,0,New Zealand,0.65625,
Asad Ali,Bowler,13,81.25,16,2,120,183,223,0,223,82,141,0,West Indies,0.6557377049180327,60.0
KM Beams,Bowler,27,61.36363636363637,44,38,765,1168,487,0,487,226,261,0,Sri Lanka,0.6549657534246576,20.13157894736842
MJG Nielsen,Bowler,25,53.191489361702125,47,23,491,750,471,0,471,218,253,0,Sri Lanka,0.6546666666666666,21.347826086956523
F Chipare,Bowler,20,45.45454545454545,44,4,96,147,442,0,442,215,227,0,Pakistan,0.6530612244897959,24.0
