match_id,created,city,dates,event_name,match_number,gender,match_type,match_type_number,toss_winner,toss_decision,outcome_winner,outcome_by_runs,outcome_by_wickets,overs,player_of_match,season,teams,venue,total_fours,total_sixes
474470,2011-07-07,Nottingham,2011-07-06,NatWest Series,4.0,male,ODI,3169,England,field,England,,10.0,50,AN Cook,2011,"England, Sri Lanka",Trent Bridge,40,5
1443547,2025-01-10,Hamilton,2025-01-08,Sri Lanka tour of New Zealand,2.0,male,ODI,4823,Sri Lanka,field,New Zealand,113.0,,50,R Ravindra,2024/25,"New Zealand, Sri Lanka","Seddon Park, Hamilton",36,10
1450691,2024-09-25,Windhoek,2024-09-18,ICC Men's Cricket World Cup League 2,27.0,male,ODI,4763,United States of America,field,United States of America,,10.0,50,Jasdeep Singh,2024,"United Arab Emirates, United States of America","United Cricket Club Ground, Windhoek",29,2
297802,2015-09-02,Chandigarh,2007-11-08,Pakistan in India ODI Series,2.0,male,ODI,2644,India,bat,Pakistan,,4.0,50,Younis Khan,2007/08,"India, Pakistan","Punjab Cricket Association Stadium, Mohali",57,6
636534,2014-03-06,Antigua,2014-03-02,England in West Indies ODI Series,2.0,male,ODI,3480,England,field,England,,3.0,50,SD Parry,2013/14,"West Indies, England","Sir Vivian Richards Stadium, North Sound",23,3
249207,2015-11-23,,2006-08-06,Bangladesh in Zimbabwe ODI Series,5.0,male,ODI,2398,Zimbabwe,bat,Bangladesh,,8.0,50,Shahriar Nafees,2006,"Zimbabwe, Bangladesh",Harare Sports Club,34,2
902645,2015-11-18,,2015-11-17,Pakistan v England ODI Series,3.0,male,ODI,3710,Pakistan,bat,England,,6.0,50,JWA Taylor,2015/16,"England, Pakistan",Sharjah Cricket Stadium,24,11
1109608,2020-05-31,Colombo,2017-08-31,India tour of Sri Lanka,4.0,male,ODI,3908,India,bat,India,168.0,,50,V Kohli,2017,"India, Sri Lanka","R.Premadasa Stadium, Khettarama",61,11
439149,2010-08-22,Dominica,2010-05-28,South Africa in West Indies ODI Series,3.0,male,ODI,2982,South Africa,bat,South Africa,67.0,,50,AB de Villiers,2010,"West Indies, South Africa","Windsor Park, Roseau",19,5
1377766,2023-06-30,Bulawayo,2023-06-29,ICC Cricket World Cup Qualifier,21.0,male,ODI,4605,Oman,field,Zimbabwe,14.0,,50,SC Williams,2023,"Zimbabwe, Oman","Queens Sports Club, Bulawayo",63,9
403371,2009-11-11,,2009-08-01,Pakistan in Sri Lanka ODI Series,2.0,male,ODI,2866,Sri Lanka,field,Sri Lanka,,6.0,50,CK Kapugedera,2009,"Sri Lanka, Pakistan",Rangiri Dambulla International Stadium,31,1
1077949,2017-04-08,Guyana,2017-04-07,Pakistan in West Indies ODI Series,1.0,male,ODI,3861,West Indies,field,West Indies,,4.0,50,JN Mohammed,2017,"West Indies, Pakistan",Providence Stadium,52,16
223334,2020-12-11,Chandigarh,2005-10-28,Sri Lanka tour of India,2.0,male,ODI,2287,India,field,India,,8.0,50,IK Pathan,2005/06,"Sri Lanka, India","Punjab Cricket Association IS Bindra Stadium, Mohali",29,1
351693,2013-03-04,Brisbane,2009-02-13,Chappell-Hadlee Trophy,5.0,male,ODI,2820,New Zealand,field,,,,50,,2008/09,"Australia, New Zealand","Brisbane Cricket Ground, Woolloongabba",25,8
319147,2015-08-24,St Kitts,2008-07-06,Australia in West Indies ODI Series,5.0,male,ODI,2736,Australia,bat,Australia,169.0,,50,L Ronchi,2008,"West Indies, Australia","Warner Park, Basseterre",49,12
1179273,2019-12-31,Harare,2019-04-12,United Arab Emirates tour of Zimbabwe,2.0,male,ODI,4122,Zimbabwe,field,Zimbabwe,4.0,,50,PJ Moor,2019,"Zimbabwe, United Arab Emirates",Harare Sports Club,22,7
1299588,2022-02-08,Al Amarat,2022-02-08,ICC Men's Cricket World Cup League 2,59.0,male,ODI,4354,United Arab Emirates,field,,,,50,Kashif Daud,2021/22,"Oman, United Arab Emirates",Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),29,11
1199230,2019-10-08,Lauderhill,2019-09-23,ICC Men's Cricket World Cup League 2,6.0,male,ODI,4210,Namibia,bat,Namibia,27.0,,50,A Vala,2019,"Namibia, Papua New Guinea",Central Broward Regional Park Stadium Turf Ground,30,13
